Entidad federativa,2008,2010,2012,2014,2016,2018
Aguascalientes,48.3,45.1,42,26.7,30.2,15.6
Baja California,104.1,109.1,91.5,105.5,39.7,59.3
Baja California Sur,16.4,30.3,25.8,29.5,12.8,12.6
Campeche,97.2,116.1,90.7,99.2,61.6,93
Coahulia,83.7,81.9,92.7,109.7,49.7,44.5
Colima,11,16.7,27.4,24.4,19.3,18.2
Chiapas,1850.8,1885.4,1629.2,1654.4,1498.6,1623.3
Chihuahua,230.5,231.9,136.3,200.3,120.9,99.8
Ciudad de México,189.1,192.4,219,150.5,155.1,153.3
Durango,187.2,175.5,128,93,49.6,40.4
Guanajuato,430.8,469.5,391.9,317.6,257.6,253.3
Guerrero,1098.2,1097.6,1111.5,868.1,825.2,971.4
Hidalgo,401.3,364,276.7,350.5,234.3,181.5
Jálisco,321,392.4,446.2,253.2,144.9,244.5
México,1046.5,1341.2,945.7,1206.9,1057,865.7
Michoacán,668.9,598,650.3,641.9,435.3,284.4
Morelos,153.1,125.4,117.2,149.3,115.4,147
Nayarit,66.2,92.7,138.7,102.1,99.4,76.2
Nuevo León,118.7,86.4,117.5,66.7,31.5,25.2
Oaxaca,1079,1133.5,916.6,1130.3,1087.2,951.8
Puebla,1088.1,1001.7,1059.1,991.3,561.9,551.9
Querétaro,97.6,137.5,98.7,76.1,59.7,41.2
Quintana Roo,98.3,87.5,122.2,107.6,69.2,59.8
San Luis Potosí,394.8,402.6,342.9,258.5,213.8,207.6
Sinaloa,128.9,156.3,130.2,155.8,87.1,82.3
Sonora,115.2,140.1,139.8,95.6,75.3,80.6
Tabaso,348.5,306.9,330.8,260.3,284.2,302.5
Tamaulipas,157.2,183.4,160.2,151.6,103.6,121.8
Tlaxcala,109.9,118.2,112.2,82.6,74.7,41.7
Veracruz,1276.4,1449,1122,1370.5,1332.5,1457.9
Yucatán,170.9,232.5,200.6,223.2,132.4,147.1
Zacatecas,140.4,164.1,115.6,89.4,56.1,54.4
